customer_id,first_name,last_name,email,phone,address,city,state,zip,dl_masked,credit_score_band,contact_opt_in_sms,contact_opt_in_email
5053,Quinn,Thomas,quinn.thomas@mail.test,555-788-5295,698 Cedar St,Oakland,CA,94607,GA-XXXXXX85,580-669,True,False
5054,Morgan,White,morgan.white@example.com,555-146-1609,411 Cedar St,Anytown,CA,94105,WA-XXXXXX75,800-850,False,True
5055,Lee,Brown,lee.brown@autodealer.test,555-730-7686,386 Maple St,San Jose,CA,95110,NC-XXXXXX15,670-739,True,False
5056,Drew,Miller,drew.miller@autodealer.test,555-193-4475,757 Elm St,Anytown,CA,94105,NC-XXXXXX31,580-669,True,True
5057,Jamie,Jones,jamie.jones@mail.test,555-102-5542,979 Oak St,San Jose,CA,95110,AZ-XXXXXX20,580-669,False,True
5058,Avery,Lopez,avery.lopez@example.com,555-859-7897,638 Maple St,Anytown,CA,94105,NC-XXXXXX17,580-669,True,False
5059,Quinn,Smith,quinn.smith@autodealer.test,555-967-7580,536 Maple St,Anytown,CA,94105,FL-XXXXXX21,670-739,False,False
5060,Skyler,Thompson,skyler.thompson@autodealer.test,555-617-8048,201 Maple St,Santa Clara,CA,95050,OH-XXXXXX57,740-799,True,False
5061,Lee,Anderson,lee.anderson@autodealer.test,555-483-3500,803 Cedar St,Oakland,CA,94607,NC-XXXXXX52,300-579,False,True
5062,Lee,Thomas,lee.thomas@mail.test,555-868-7929,988 Maple St,San Jose,CA,95110,FL-XXXXXX83,740-799,True,True
5063,Cameron,Martinez,cameron.martinez@example.com,555-880-5564,687 Oak St,Santa Clara,CA,95050,CA-XXXXXX94,580-669,False,False
5064,Jamie,Thomas,jamie.thomas@example.com,555-990-3347,679 Cedar St,Anytown,CA,94105,PA-XXXXXX66,670-739,True,False
5065,Morgan,Anderson,morgan.anderson@mail.test,555-710-2391,153 Oak St,San Jose,CA,95110,GA-XXXXXX67,740-799,False,False
5066,Chris,Thompson,chris.thompson@autodealer.test,555-540-2816,390 Elm St,Anytown,CA,94105,CA-XXXXXX90,580-669,False,True
5067,Riley,Lopez,riley.lopez@autodealer.test,555-222-1126,609 Cedar St,Santa Clara,CA,95050,TX-XXXXXX85,740-799,True,False
5068,Alex,Harris,alex.harris@autodealer.test,555-689-8033,687 Cedar St,Anytown,CA,94105,PA-XXXXXX29,670-739,True,False
5069,Casey,Davis,casey.davis@mail.test,555-510-9584,180 Cedar St,San Diego,CA,92101,NC-XXXXXX81,800-850,True,False
5070,Cameron,Jones,cameron.jones@example.com,555-249-5193,302 Oak St,Riverside,CA,92501,PA-XXXXXX99,800-850,False,False
5071,Riley,Harris,riley.harris@autodealer.test,555-552-5961,915 Pine St,Anytown,CA,94105,CA-XXXXXX77,300-579,False,False
5072,Taylor,Williams,taylor.williams@mail.test,555-619-7299,573 Elm St,Sacramento,CA,95814,NC-XXXXXX97,580-669,True,False
5073,Casey,Anderson,casey.anderson@example.com,555-616-3827,140 Oak St,Oakland,CA,94607,IL-XXXXXX55,740-799,False,False
5074,Skyler,Johnson,skyler.johnson@mail.test,555-762-6482,167 Pine St,San Jose,CA,95110,TX-XXXXXX25,800-850,True,False
5075,Morgan,Jackson,morgan.jackson@mail.test,555-825-2388,417 Elm St,Riverside,CA,92501,CA-XXXXXX85,670-739,False,True
5076,Chris,Anderson,chris.anderson@autodealer.test,555-296-4711,240 Oak St,San Jose,CA,95110,GA-XXXXXX05,580-669,False,True
5077,Avery,Garcia,avery.garcia@mail.test,555-889-3712,838 Cedar St,San Jose,CA,95110,NY-XXXXXX47,800-850,True,False
5078,Peyton,Miller,peyton.miller@mail.test,555-684-8218,572 Pine St,Santa Clara,CA,95050,IL-XXXXXX92,300-579,False,False
5079,Shawn,Brown,shawn.brown@mail.test,555-971-3042,391 Maple St,Oakland,CA,94607,PA-XXXXXX13,670-739,True,False
5080,Jordan,Jackson,jordan.jackson@autodealer.test,555-341-7326,183 Pine St,Sacramento,CA,95814,IL-XXXXXX20,740-799,True,False
5081,Quinn,Clark,quinn.clark@example.com,555-119-5193,320 Oak St,Anytown,CA,94105,TX-XXXXXX34,300-579,True,False
5082,Skyler,Harris,skyler.harris@example.com,555-956-9189,711 Elm St,Anytown,CA,94105,GA-XXXXXX60,670-739,True,False
5083,Avery,Williams,avery.williams@autodealer.test,555-169-9618,657 Elm St,Sacramento,CA,95814,IL-XXXXXX65,300-579,False,True
5084,Cameron,Davis,cameron.davis@mail.test,555-743-2698,890 Elm St,Oakland,CA,94607,MI-XXXXXX27,740-799,True,True
5085,Taylor,Harris,taylor.harris@autodealer.test,555-306-1717,910 Oak St,Anytown,CA,94105,CA-XXXXXX74,580-669,False,False
5086,Jordan,Anderson,jordan.anderson@example.com,555-918-7029,547 Cedar St,Santa Clara,CA,95050,IL-XXXXXX58,300-579,False,True
5087,Lee,Clark,lee.clark@example.com,555-658-5813,428 Maple St,San Jose,CA,95110,MI-XXXXXX62,740-799,False,False
5088,Jordan,Thomas,jordan.thomas@autodealer.test,555-381-1939,176 Cedar St,Sacramento,CA,95814,FL-XXXXXX70,300-579,True,False
5089,Cameron,Jackson,cameron.jackson@example.com,555-719-3513,795 Cedar St,Sacramento,CA,95814,OH-XXXXXX85,670-739,False,True
5090,Casey,Smith,casey.smith@example.com,555-611-9482,496 Elm St,Oakland,CA,94607,NY-XXXXXX47,300-579,True,True
5091,Quinn,Garcia,quinn.garcia@autodealer.test,555-189-6236,783 Pine St,Oakland,CA,94607,NC-XXXXXX25,580-669,True,True
5092,Riley,Davis,riley.davis@autodealer.test,555-126-6912,667 Elm St,San Jose,CA,95110,OH-XXXXXX14,740-799,False,False
5093,Evan,Williams,evan.williams@autodealer.test,555-757-2215,560 Cedar St,Riverside,CA,92501,NC-XXXXXX26,300-579,True,True
5094,Morgan,Garcia,morgan.garcia@autodealer.test,555-826-4694,454 Elm St,Riverside,CA,92501,GA-XXXXXX24,800-850,True,True
5095,Evan,Robinson,evan.robinson@example.com,555-774-6531,962 Elm St,Riverside,CA,92501,OH-XXXXXX39,800-850,True,False
5096,Shawn,Wilson,shawn.wilson@autodealer.test,555-594-5012,924 Cedar St,Oakland,CA,94607,PA-XXXXXX67,580-669,False,True
5097,Jamie,Anderson,jamie.anderson@autodealer.test,555-508-3142,878 Pine St,Oakland,CA,94607,PA-XXXXXX14,580-669,True,True
5098,Jordan,Wilson,jordan.wilson@mail.test,555-528-5067,986 Oak St,San Diego,CA,92101,PA-XXXXXX87,670-739,False,True
5099,Taylor,Jackson,taylor.jackson@autodealer.test,555-346-4524,697 Pine St,Sacramento,CA,95814,CA-XXXXXX48,300-579,False,True
5100,Drew,Thomas,drew.thomas@autodealer.test,555-474-1741,510 Maple St,San Jose,CA,95110,NC-XXXXXX16,740-799,False,True
5101,Riley,Brown,riley.brown@autodealer.test,555-913-6555,671 Pine St,San Diego,CA,92101,CA-XXXXXX00,580-669,False,False
5102,Devon,Harris,devon.harris@mail.test,555-627-3290,435 Elm St,Riverside,CA,92501,NC-XXXXXX58,800-850,False,False
5103,Peyton,Smith,peyton.smith@autodealer.test,555-789-2795,526 Elm St,Santa Clara,CA,95050,MI-XXXXXX93,300-579,False,True
5104,Devon,Clark,devon.clark@autodealer.test,555-251-4968,132 Elm St,San Jose,CA,95110,MI-XXXXXX26,580-669,False,False
5105,Jordan,Jones,jordan.jones@example.com,555-674-6325,778 Cedar St,Sacramento,CA,95814,AZ-XXXXXX58,670-739,False,True
5106,Sam,Lopez,sam.lopez@autodealer.test,555-330-5876,889 Pine St,Sacramento,CA,95814,TX-XXXXXX44,800-850,False,False
5107,Cameron,Jones,cameron.jones@example.com,555-394-2294,454 Cedar St,Santa Clara,CA,95050,FL-XXXXXX84,300-579,True,True
5108,Jordan,Thompson,jordan.thompson@mail.test,555-338-1860,202 Cedar St,Riverside,CA,92501,WA-XXXXXX26,740-799,False,True
5109,Morgan,Anderson,morgan.anderson@mail.test,555-160-2465,767 Elm St,Santa Clara,CA,95050,PA-XXXXXX06,580-669,False,True
5110,Alex,Wilson,alex.wilson@mail.test,555-209-6489,391 Cedar St,Sacramento,CA,95814,TX-XXXXXX43,670-739,True,False
5111,Drew,Garcia,drew.garcia@mail.test,555-445-5833,681 Oak St,Anytown,CA,94105,WA-XXXXXX16,300-579,True,True
5112,Peyton,Anderson,peyton.anderson@example.com,555-367-7284,341 Cedar St,Riverside,CA,92501,MI-XXXXXX45,580-669,True,True
5113,Quinn,Wilson,quinn.wilson@autodealer.test,555-802-9233,820 Pine St,Riverside,CA,92501,FL-XXXXXX27,740-799,False,False
5114,Shawn,Martin,shawn.martin@mail.test,555-921-4578,880 Oak St,San Jose,CA,95110,TX-XXXXXX19,300-579,True,True
5115,Avery,Anderson,avery.anderson@mail.test,555-552-2904,796 Oak St,San Jose,CA,95110,NC-XXXXXX72,740-799,False,True
5116,Shawn,Harris,shawn.harris@autodealer.test,555-840-1356,505 Pine St,Oakland,CA,94607,NC-XXXXXX51,300-579,True,False
5117,Jordan,Wilson,jordan.wilson@example.com,555-887-3218,884 Cedar St,San Diego,CA,92101,WA-XXXXXX82,670-739,True,True
5118,Shawn,Jackson,shawn.jackson@example.com,555-845-4648,954 Maple St,Sacramento,CA,95814,NY-XXXXXX63,740-799,False,True
5119,Drew,Miller,drew.miller@example.com,555-132-7868,729 Maple St,Oakland,CA,94607,WA-XXXXXX79,300-579,True,True
